Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
2023-03-02 08:00:00,6.4,15,6.2,14,65,4.7,54,64,75,1.3,49,53,40,9,15.7,55.1,5.3,4.9,59,257.5,0.2,16,52.4,5.2,4.9,55.6,128.6,0,137,45.176,0,33
2023-03-02 10:00:00,6.4,15,6.1,14,65,4.8,54,64,75,1.4,49,53,40,9,16.6,53.6,5.3,4.9,58,255.5,0.2,16.8,54.1,5.2,4.9,57.8,134.6,0,152,51.651,0,33
2023-03-02 12:00:00,6.7,15,6.5,14,65,4.8,53,64,75,1.2,49,53,40,9,16.5,54.3,5.3,4.9,58.4,254.9,0.2,16.6,56.7,5.2,4.9,60,176.4,0,167,58.117,0,33
2023-03-02 14:00:00,6.6,15,6.3,14,65,4.7,54,64,75,1.2,49,53,40,9,15.5,51.3,5.3,4.9,55,229.1,0.2,15.9,54,5.2,4.9,57.2,131.7,0,177,62.391,0,33
2023-03-02 16:00:00,6.6,15,6.4,14,65,4.7,54,64,75,1.2,49,53,40,9,16.5,51.4,5.3,4.9,55.7,120.7,0,16.7,53.9,5.2,4.9,57.6,267.5,0,197,70.761,0,33
2023-03-02 18:00:00,6.8,15,6.3,14,65,4.7,54,64,75,1.2,49,53,40,9,15.5,52.2,5.3,4.9,55.5,120.7,0,15.8,53.2,5.2,4.9,55.8,128.2,0,212,76.797,0,33
2023-03-02 20:00:00,6.4,15,6.2,14,65,4.7,54,64,75,1.2,49,53,40,9,15.8,53,5.3,4.8,55.9,147.8,0,15.9,53.5,5.2,4.9,56,131.1,0,229,83.277,0,33
2023-03-03 00:00:00,6.5,15,6.2,14,65,4.7,54,64,75,1.2,49,53,40,9,16.1,53.5,5.3,4.8,56.3,164.5,0,16,54,5.2,4.9,56,136.7,0,141,46.899,0,33
2023-03-03 02:00:00,6.4,15,6.2,14,65,4.8,54,64,75,1.2,48,53,40,9,15.2,54.7,5.3,5,58.6,158,0,15.4,56.2,5.1,4.8,59.6,139,0,156,53.379,0,33
2023-03-03 04:00:00,6.4,15,6.2,14,65,4.8,54,64,75,1.2,48,53,40,9,16.3,52.9,5.3,4.9,56.5,253.8,0,16.2,53.5,5.3,5,56.8,260.5,0,171,59.832,0,33
2023-03-03 06:00:00,6.6,15,6.3,14,66,4.8,54,64,75,1.2,48,53,40,9,16.1,53,5.3,4.9,57,255.1,0,16.3,54.2,5.3,5.1,57.1,258.1,0,187,66.613,0,33
2023-03-03 08:00:00,6.5,15,6.2,14,66,4.7,54,64,75,1.2,45,53,40,9,15.9,53.3,5.3,4.9,57.1,128.1,0,16.3,55.6,5.3,5.1,58.6,140.6,0,203,73.205,0,33
2023-03-03 10:00:00,6.6,15,6,14,66,4.7,54,64,75,1.2,44,53,40,9,16.7,52.7,5.3,4.9,57.1,128.4,0,16.8,52.5,5.3,5.1,56.4,261.7,0.2,220,79.902,0,33
2023-03-03 12:00:00,6.8,15,6.2,14,66,4.7,54,64,75,1.3,49,53,40,9,16.1,54.2,5.3,4.9,58.6,139.4,0,16.3,54.4,5.3,5.1,57.9,140.6,0,167,58.117,0,33
2023-03-03 14:00:00,6.7,15,6.2,14,66,4.8,53,64,75,1.4,49,53,40,9,15.9,53.8,5.3,4.9,58.5,135.4,0,16.2,56,5.3,5.1,59.9,163.8,0,97,28.369,0,33
2023-03-03 16:00:00,6.4,15,6.1,14,66,4.7,54,64,75,1.1,49,53,40,9,15.9,54.3,5.3,4.9,58,126.2,0,16.2,53.2,5.3,5.1,55.5,244.1,0.2,112,34.542,0,33
2023-03-03 18:00:00,6.6,15,6.1,14,66,4.7,55,64,75,1.1,49,53,40,9,15.4,53.6,5.3,4.9,57.7,125.5,0,15.6,53.1,5.3,5.1,56.5,129.2,0,132,43.027,0,33
2023-03-03 20:00:00,6.4,15,6.2,14,66,4.7,55,64,75,1.1,49,53,40,9,15.7,52.8,5.2,4.8,57,124,0,16.1,54.3,5.2,5,57.7,134,0,149,50.354,0,33
2023-03-04 00:00:00,6.6,15,6.2,14,66,4.7,55,64,75,1.1,49,53,40,9,16.1,53.2,5.3,5,57,251,0,16.3,54.7,5.3,5,57.8,263.1,0,185,65.773,0,33
2023-03-04 02:00:00,6.5,15,6.2,14,65,4.8,54,64,75,1.2,48,53,40,9,15.2,54.7,5.3,5,58.6,158,0,15.4,56.2,5.1,4.8,59.6,139,0,206,74.413,0,33
2023-03-04 04:00:00,6.4,15,6.3,14,64,4.8,54,63,75,1.1,49,53,40,9,15.9,54.4,5.3,5,59.3,211.5,0,16.1,52.9,5.2,4.9,56.3,132.3,0,223,81.042,0,33
2023-03-04 06:00:00,6.6,15,6.3,14,65,4.8,54,63,75,1.1,49,53,40,9,16.2,51.7,5.2,5,55.9,123.9,0,16.3,52.8,5.2,4.9,56,132.7,0,97,28.369,0,33
2023-03-04 08:00:00,6.8,15,6.3,14,65,4.8,54,63,75,1.3,49,53,40,9,16.3,50.8,5.2,5,55.3,122.6,0,16.6,54.4,5.2,4.9,58,139.7,0,114,35.38,0,33
2023-03-04 10:00:00,6.7,15,6.2,14,65,4.7,55,63,75,1.1,46,53,40,9,17.4,52.4,5.2,5,56.1,123.2,0,17.5,52.7,5.2,4.9,55.6,132.6,0,130,42.169,0,33
2023-03-04 12:00:00,6.8,15,6.3,14,65,4.8,54,63,75,1.1,46,53,40,9,16.3,53.2,5.2,5,57,126.2,0,16.6,55.4,5.2,4.9,58.4,141.9,0,146,49.058,0,33
2023-03-04 14:00:00,6.8,15,6.3,14,65,4.8,54,63,75,1.3,46,53,40,9,16,53.3,5.2,5,57.5,126.8,0,16.4,51.6,5.2,4.9,55.2,131.6,0,164,56.828,0,33
2023-03-04 16:00:00,6.5,15,6.3,14,65,4.7,54,63,75,1.2,46,53,40,9,16.1,52.6,5.2,5,57.2,126.1,0,16.2,54,5.2,4.9,57.9,137.9,0,182,64.51,0,33
2023-03-04 18:00:00,6.8,15,6.3,14,65,4.8,54,63,75,1.3,45,53,40,9,16.5,53.6,5.2,5,58.2,131,0,16.7,51.5,5.2,4.9,55.1,131,0,203,73.205,0,33
2023-03-04 20:00:00,6.8,15,6.3,14,65,4.8,54,63,75,1.3,45,53,40,9,16.1,51.9,5.2,5,56.1,122.6,0,16.6,51.9,5.2,4.9,55.3,130.9,0,103,30.813,0,33
2023-03-05 00:00:00,6.5,15,6.3,14,65,4.8,54,63,75,1.2,45,53,40,9,16.3,52,5.2,4.9,55.4,120.8,0,16.2,56.9,5.3,5,59.8,177.7,0,154,52.515,0,33
2023-03-05 02:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,48,53,40,9,15.2,54.7,5.3,5,58.6,158,0,15.4,56.2,5.1,4.8,59.6,139,0,173,60.687,0,33
2023-03-05 04:00:00,6.7,15,6.3,14,64,4.8,54,64,75,1.3,49,52,40,9,16.3,52.1,5.2,4.9,55.7,141.1,0,16,55,5.2,4.9,59.1,125.7,0,193,69.112,0,33
2023-03-05 06:00:00,6.8,15,6.3,14,64,4.8,54,64,75,1.2,49,52,40,9,16.7,54,5.2,4.9,58.4,136.3,0,16.8,53.2,5.2,4.9,56.7,134.7,0,218,79.134,0,33
2023-03-05 08:00:00,6.7,15,6.2,14,64,4.7,53,64,75,1,49,52,40,9,15.2,53,5.2,4.9,59.1,150.4,0,15.6,52.8,5.2,4.9,56.3,258.9,0.2,243,88.232,0,33
2023-03-05 10:00:00,6.8,15,6.3,14,64,4.8,53,64,75,1.1,49,52,40,9,15.8,56,5.2,4.9,59.5,179.5,0,16,54.9,5.2,4.9,58,138.2,0,212,76.797,0,33
2023-03-05 12:00:00,6.8,15,6.2,14,64,4.7,54,64,75,1.3,49,52,40,9,16,53.5,5.2,4.9,57.6,125.8,0,16.3,55.4,5.2,4.9,58.8,140.8,0,201,72.394,0,33
2023-03-05 14:00:00,6.7,15,6.1,14,64,4.7,54,64,75,1.2,49,52,40,9,16.7,53.7,5.2,4.9,57.5,124.4,0,16.7,52.9,5.2,4.9,55.8,129.5,0,224,81.418,0,33
2023-03-05 16:00:00,6.5,15,6,14,64,4.7,54,64,75,1.3,49,52,40,9,15.9,54.6,5.2,4.9,58.6,132.6,0,16.2,54.5,5.2,4.9,57.9,262.3,0.2,209,75.611,0,33
2023-03-05 18:00:00,6.6,15,6.3,14,64,4.7,55,64,75,1.3,49,52,40,9,16,54.1,5.2,4.9,58.1,124.6,0,16.4,52.7,5.2,4.9,55.9,129.1,0,231,84.009,0,33
2023-03-05 20:00:00,6.7,15,6.3,14,64,4.7,55,64,75,1.3,49,52,40,9,16.3,54,5.2,4.9,58.3,123.1,0,16.7,56,5.2,4.9,59.6,146.8,0,210,76.008,0,33
2023-03-06 00:00:00,6.6,15,6.3,14,64,4.7,55,64,75,1.3,49,52,40,9,16.1,53,5.3,5,55.9,144,0,16.4,55.3,5.2,4.9,58.1,177.1,0,176,61.966,0,33
2023-03-06 02:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,48,53,40,9,15.2,54.7,5.3,5,58.6,158,0,15.4,56.2,5.1,4.8,59.6,139,0,197,70.761,0,33
2023-03-06 04:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,48,53,40,9,16.3,54.2,5.4,5,58.2,131.5,0,16.3,56.3,5.5,5.1,59.8,251.5,0,220,79.902,0,33
2023-03-06 06:00:00,6.6,15,6.2,14,64,4.8,54,64,75,1.4,48,53,40,9,15.8,53.4,5.4,5,57.6,125.7,0,16.2,56.6,5.5,5.1,60,255.8,0,162,55.967,0,33
2023-03-06 08:00:00,6.6,15,6.1,14,64,4.7,54,64,75,1.3,46,53,40,9,16.2,55.7,5.4,5,59.5,156.3,0,16.6,54.3,5.5,5.1,57.5,135.2,0,183,64.932,0,33
2023-03-06 10:00:00,6.5,15,6.2,14,64,4.7,54,64,75,1.3,45,53,40,9,16.9,53.9,5.4,5,58.4,132.3,0,17.1,54.2,5.5,5.1,57.9,136.5,0,199,71.58,0,33
2023-03-06 12:00:00,6.7,15,6.3,14,64,4.8,54,64,75,1.1,45,53,40,9,16.3,53.5,5.4,5,58.2,131.8,0,16.5,55,5.5,5.1,59.2,148.1,0,223,81.042,0,33
2023-03-06 14:00:00,6.5,15,6.3,14,64,4.7,54,64,75,1.2,45,53,40,9,16.4,54.2,5.4,5,58.5,133.5,0,16.7,53,5.5,5.1,56.7,259.7,0.2,57,13.415,0,33
2023-03-06 16:00:00,6.6,15,6.1,14,64,4.7,53,64,75,1.3,44,53,40,9,17,53.5,5.4,5,57.9,254.1,0.2,17.3,55.4,5.5,5.1,59.1,149.8,0,83,22.827,0,33
2023-03-06 18:00:00,6.8,15,6.3,14,64,4.8,54,64,75,1.2,49,53,40,9,15.4,51.9,5.4,5,55.7,125.8,0,15.8,54.2,5.5,5.1,57.2,137.7,0,108,32.877,0,33
2023-03-06 20:00:00,6.6,15,6,14,64,4.9,54,64,75,1.2,49,52,40,9,15.3,51.9,5.2,4.9,55.6,124.7,0,16,55.4,5.1,4.8,58.4,140.6,0,129,41.741,0,33
2023-03-07 00:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,49,52,40,9,16.5,52.4,5.3,4.9,56.7,253.3,0,16.2,56.2,5.3,5,57,135.1,0,168,58.546,0,33
2023-03-07 02:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,48,52,40,9,15.8,55,5.3,5,58.6,158,0,15.7,56,5.1,4.8,59.6,139,0,190,67.866,0,33
2023-03-07 04:00:00,6.5,15,6.2,14,65,4.8,54,64,75,1.2,48,52,40,9,16,55.3,5.3,5,58.9,165.8,0,16,56.5,5.1,4.9,60,149.9,0,116,36.22,0,33
2023-03-07 06:00:00,6.7,15,6.2,14,65,4.8,55,64,75,1.3,48,52,40,9,17.3,55.3,5.3,5,58.9,131.3,0,17.8,56.5,5.1,4.9,60,132,0,131,42.598,0,33
2023-03-07 08:00:00,6.6,15,6.3,14,65,4.7,54,64,75,1.1,49,52,40,9,17,55.2,5.3,5,59.3,142.8,0,17.2,54.5,5.1,4.9,57.9,136.7,0,153,52.083,0,33
2023-03-07 10:00:00,6.8,15,6.3,14,65,4.8,54,64,75,1,49,52,40,9,16.5,55.1,5.3,5,59.3,148.9,0,16.8,55,5.1,4.9,58.5,140.8,0,175,61.54,0,33
2023-03-07 12:00:00,6.7,15,6.3,14,65,4.7,53,64,75,1.4,49,52,40,9,16.7,55.3,5.3,5,59.4,144.7,0,17.2,55.1,5.1,4.9,58.6,266.4,0.2,193,69.112,0,33
2023-03-07 14:00:00,6.7,15,6.3,14,65,4.8,54,64,75,1.2,49,52,40,9,15.1,52.1,5.3,5,55.3,120.7,0,15.6,55.8,5.1,4.9,58.4,135.7,0,212,76.797,0,33
2023-03-07 16:00:00,6.7,15,6.3,14,65,4.8,55,64,75,1.3,49,52,40,9,17.4,52.9,5.3,5,57.4,125.8,0,17.9,52.6,5.1,4.9,56.3,131.9,0,106,32.049,0,33
2023-03-07 18:00:00,6.7,15,6.3,14,65,4.8,54,64,75,1.3,49,52,40,9,16.9,52.3,5.3,5,56.3,125.9,0,17.1,53,5.1,4.9,56.1,132.9,0,129,41.741,0,33
2023-03-07 20:00:00,6.6,15,6.3,14,65,4.8,54,64,75,1.2,49,52,40,9,17,53.8,5.2,4.9,58.4,127.1,0,17.1,56,5.2,4.9,59.6,134.5,0,159,54.673,0,33
2023-03-08 00:00:00,6.6,15,6.3,14,65,4.8,54,64,75,1.3,49,52,40,9,16.2,53.8,5.2,4.9,57.9,130.1,0,16.4,56,5.2,4.9,58.9,137.8,0,197,70.761,0,33
2023-03-08 02:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,48,52,40,9,15.8,55,5.3,5,58.6,158,0,15.7,56,5.1,4.8,59.6,139,0,113,34.961,0,33
2023-03-08 04:00:00,6.5,15,6.2,14,64,4.8,54,64,75,1.2,48,52,40,9,16.2,54.6,5.2,4.9,58.5,139.9,0,16,54.7,5.1,4.8,57.8,268.8,0,134,43.885,0,33
2023-03-08 06:00:00,6.7,15,6.1,14,65,4.8,54,64,75,1.4,49,52,40,9,17.4,52.4,5.3,4.9,57,128.8,0,16.7,52.5,5.1,4.8,56,134.9,0,149,50.354,0,33
2023-03-08 08:00:00,6.8,15,6.3,14,65,4.9,54,64,75,1.3,49,52,40,9,16.4,54,5.3,4.9,58.2,134.7,0,16.6,51.8,5.1,4.8,55,139.9,0.2,170,59.404,0,33
2023-03-08 10:00:00,6.8,15,6.3,14,65,4.9,54,64,75,1.4,49,52,40,9,18,53.9,5.3,4.9,58.2,254.2,0.2,17.8,54.3,5.1,4.8,58.2,140,0,185,65.773,0,33
2023-03-08 12:00:00,6.7,15,6.1,14,65,4.7,54,64,75,1.1,49,52,40,9,15.2,50.6,5.3,4.9,55,233.2,0.2,15.6,52,5.1,4.8,56.1,254.7,0.2,204,73.609,0,33
2023-03-08 14:00:00,6.7,15,6.3,14,65,4.7,54,64,75,1.3,49,52,40,9,15.9,51.5,5.3,4.9,55.5,119.8,0,16.5,53.3,5.1,4.8,56.3,131.3,0,228,82.909,0,33
2023-03-08 16:00:00,6.6,15,6.2,14,65,4.7,54,64,75,1.2,49,52,40,9,18.6,52.3,5.3,4.9,56.5,123,0,18.4,56.4,5.1,4.8,59.8,155.3,0,189,67.449,0,33
2023-03-08 18:00:00,6.8,15,6.3,14,65,4.7,54,64,75,1.1,49,52,40,9,16.1,54,5.3,4.9,58.2,130,0,16.5,53.2,5.1,4.8,56.6,132.4,0,209,75.611,0,33
2023-03-08 20:00:00,6.8,15,6.2,14,65,4.7,54,64,75,1.2,49,52,40,9,16.8,56.4,5.2,4.9,59.5,131.7,0,16.8,57.4,5.2,4.9,60.1,136.6,0,232,84.372,0,33
2023-03-09 00:00:00,6.6,15,6.2,14,65,4.7,54,64,75,1.2,49,52,40,9,16.3,55,5.4,5,58.1,164.1,0,16.2,56,5.2,4.9,59,120.7,0,198,71.171,0,33
2023-03-09 02:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,48,52,40,9,16.9,51.6,5.3,5,55.6,175.1,0.2,17.2,51.9,5.1,4.8,55.1,145.7,0.2,218,79.134,0,33
2023-03-09 04:00:00,6.7,15,6.2,14,64,4.8,54,64,75,1.2,48,52,40,9,16.5,52,5.3,5,56,185.1,0.2,16.3,53.7,5.1,4.8,57,150.1,0.2,235,85.449,0,33
2023-03-09 06:00:00,6.7,15,6.2,14,65,4.8,54,64,75,1.3,48,49,40,9,16.5,51.5,5.3,5,55.8,154.7,0.2,16.3,54,5.1,4.8,57.7,148.7,0.2,215,77.972,0,33
2023-03-09 08:00:00,6.7,15,6.1,15,65,4.9,55,63,75,1.2,49,49,40,9,16.5,54.2,5.2,5,58.2,129,0.2,16.7,52.6,5.2,4.9,55.8,131.6,0.2,235,85.449,0,33
2023-03-09 10:00:00,6.7,15,6.2,15,68,4.8,54,63,75,1.3,49,49,40,9,16.4,54.7,5.2,4.9,59.3,146.8,0.2,16.6,53.6,5.2,4.9,57.3,135,0.2,215,77.972,0,33
2023-03-09 12:00:00,6.7,15,6.2,15,65,4.8,54,63,75,1.3,49,49,40,9,18.2,55.1,5.2,4.9,59.1,245.3,0.2,18.5,55.9,5.2,4.9,59.4,148,0.2,221,80.283,0,33
2023-03-09 14:00:00,6.7,15,6.2,15,65,4.8,54,63,75,1.3,49,49,40,9,18.2,55.1,5.2,4.9,59.1,245.3,0.2,18.5,55.9,5.2,4.9,59.4,148,0.2,225,81.794,0,33
2023-03-09 16:00:00,6.7,15,6.3,15,74,4.8,55,63,75,1.3,49,49,37,9,21.3,55.4,5.3,5,59.3,145.4,0.2,21.6,53.5,5.3,5,56.7,132.4,0.2,201,72.394,0,33
2023-03-09 18:00:00,6.7,15,6.3,15,74,4.8,55,63,75,1.3,49,49,37,9,21.5,51.7,5.3,5,55.3,120.6,0.2,21.6,52.4,5.3,5,55.5,131.9,0.2,229,83.277,0,33
2023-03-09 20:00:00,6.6,15,6.4,15,65,4.8,55,63,75,1.2,50,49,37,9,21.5,52,5.2,5,58.3,125.3,0.2,21.5,52.4,5.3,5,57.7,261.9,0.2,225,81.794,0,33
2023-03-10 00:00:00,6.7,15,6.3,15,64,4.8,55,63,75,1.1,50,49,40,9,16.4,54.6,5.2,4.9,59.1,245.4,0.2,16.5,55.3,5.2,4.9,57.7,137,0.2,229,83.277,0,33
2023-03-10 02:00:00,6.7,15,6.4,14,65,4.8,54,64,73,1.2,49,49,38,9,21,52.7,5.3,5,56.4,121.1,0,22,56.2,5.2,5,59.2,143,0,221,80.283,0,33
2023-03-10 04:00:00,6.7,15,6.4,14,64,4.8,54,65,73,1.2,49,49,37,9,21.3,54.2,5.5,5,57.5,247.1,0,21.7,57,5.2,5,60.1,149.4,0,209,75.611,0,33
2023-03-10 06:00:00,6.8,15,6.4,15,65,4.7,55,63,74,1.2,46,49,37,9,21.9,52.3,5.1,5,56.5,121.5,0,21.6,54.2,5,4.9,57.6,135.3,0,226,82.167,0,33
2023-03-10 08:00:00,6.8,15,6.2,15,65,4.8,55,63,75,1.2,46,51,37,9,22.4,54,5.2,5,58.5,126.9,0,22.1,52.1,5.2,5,55.2,131.8,0,207,74.814,0,33
2023-03-10 10:00:00,6.8,15,6.2,15,65,4.8,55,65,75,1.2,46,51,37,9,23.2,52.5,5.2,4.9,55.8,120.4,0,22.7,53,5.2,4.9,55.6,132.1,0,223,81.042,0,33
2023-03-10 12:00:00,6.8,15,6.2,15,64,4.7,54,61,75,1.2,48,51,37,9,21.8,55,5.2,4.9,58.9,132.2,0.2,22.4,56.8,5.2,4.9,60,164.8,0,164,56.828,0,33
2023-03-10 14:00:00,6.8,15,6.4,15,67,4.8,54,63,75,1.3,49,51,38,9,22.2,51,5.3,5,55.4,119.7,0.2,21.9,55.7,5.3,5,59.7,146,0,183,64.932,0,33
2023-03-10 16:00:00,6.8,15,6.2,15,66,4.7,55,64,75,1.1,50,51,38,9,22,54,5.3,4.9,57.1,122.1,0.2,21.9,55.2,5.3,4.9,57.6,135,0,201,72.394,0,33
2023-03-10 18:00:00,6.7,15,6.2,15,65,4.7,55,66,74,1.2,50,51,38,9,22.1,55.1,5.4,5,59.3,178,0.2,22.1,52.8,5.1,4.9,56.3,132.6,0,163,56.397,0,33
2023-03-10 20:00:00,6.8,15,6.2,15,65,4.7,55,64,75,1,50,51,38,9,18.7,52.9,5.4,5,56.5,244,0.2,19,52.8,5.3,5,56,131.2,0,181,64.087,0,33
2023-03-11 00:00:00,6.6,15,6.2,15,65,4.7,55,65,75,1.3,50,51,38,9,21,52.8,5.4,5,56.9,121.7,0.2,21.3,52.5,5.3,4.9,56,131.4,0.2,221,80.283,0,33
2023-03-11 02:00:00,6.8,15,6.3,14,66,4.8,54,64,75,1.2,49,49,38,9,21.8,54.7,5.4,5,58.2,126.9,0.2,21.9,53.2,5.4,5,55.6,130.9,0.2,168,58.546,0,33
2023-03-11 04:00:00,6.7,15,6.3,14,65,4.8,54,65,75,1.2,49,49,38,9,20.6,52.9,5.4,5,56.4,243.4,0.2,20.2,55.8,5.4,5,58.9,139.1,0.2,196,70.35,0,33
2023-03-11 06:00:00,6.8,15,6.4,14,65,4.8,55,63,75,1.3,50,51,38,9,22.4,52.9,5.4,5,56.4,243.4,0.2,22.2,55.8,5.4,5,58.9,139.1,0.2,218,79.134,0,33
2023-03-11 08:00:00,6.8,15,6.4,14,65,4.8,55,63,75,1.3,50,51,38,9,20.8,52.9,5.2,5,55.2,120.3,0.2,21.2,53.2,5.3,5,55.8,131.4,0.2,238,86.508,0,33
2023-03-11 10:00:00,6.8,15,6.3,15,67,4.8,55,68,75,1.2,50,50,37,9,21.8,54.3,5.2,4.9,57.7,126.3,0.2,21.8,54.2,5.3,4.9,57.4,262.5,0.2,101,29.994,0,33
2023-03-11 12:00:00,6.8,15,6.2,15,66,4.7,54,69,75,1.1,50,50,37,9,21.1,55.1,5.3,5,58.7,251.4,0.2,21.4,56.4,5.3,5,59.2,144.3,0.2,121,38.333,0,33
2023-03-11 14:00:00,6.8,15,6.3,15,66,4.8,55,68,75,1.2,50,50,37,9,21.7,52,5.4,5,55.8,121.7,0.2,21.5,53.8,5.4,5,57.3,134.5,0.2,140,46.468,0,33
2023-03-11 16:00:00,6.8,15,6.2,15,65,4.7,55,68,75,1.2,50,50,38,9,22.5,53.8,5.3,5,58.2,158.6,0.2,22.4,55.6,5.3,5,59.1,186.5,0.2,158,54.242,0,33
2023-03-11 18:00:00,6.7,15,6.2,15,65,4.7,55,67,75,1.2,50,50,38,9,20.8,51.3,5.3,5,55.2,125,0.2,21.1,51.2,5.3,5,55.2,136.7,0.2,178,62.816,0,33
2023-03-11 20:00:00,6.8,15,6.2,15,64,4.7,55,66,75,1.2,50,50,38,9,21.2,50.9,5.4,5,54.8,244.6,0.2,21.3,54.2,5.2,4.9,57.3,140.8,0.2,199,71.58,0,33
2023-03-12 00:00:00,6.7,15,6.2,15,65,4.8,53,66,75,1.2,50,50,38,9,21,51.8,5.4,5,55,245,0.2,21.2,55.9,5.2,4.9,58.5,127.1,0.2,135,44.315,0,33
2023-03-12 02:00:00,6.8,15,6.3,14,66,4.8,54,64,75,1.2,49,49,38,9,17,52.5,5.2,4.9,55.9,127,0.2,16.5,53.5,5.1,4.9,55.9,133.9,0.2,160,55.105,0,33
2023-03-12 04:00:00,6.9,15,6.3,14,65,4.8,54,65,75,1.2,49,50,38,9,17.8,53.6,5.4,5,57.4,133.6,0.2,17.6,54.5,5.2,4.9,57.8,272.9,0.2,178,62.816,0,33
2023-03-12 06:00:00,6.9,15,6.3,14,65,4.8,53,66,75,1.2,49,50,37,9,22.1,53.3,5.3,5,57,254.2,0.2,21.5,53.1,5.3,5,56,134.7,0.2,200,71.987,0,33
2023-03-12 08:00:00,6.9,15,6.2,14,66,4.7,54,66,75,1.1,49,50,36,9,17,51.4,5.3,5,54.9,124.8,0.2,17.4,51.5,5.3,5,54.3,132,0.2,223,81.042,0,33
2023-03-12 10:00:00,6.8,15,6.3,14,65,4.8,54,72,75,1.2,49,50,36,9,22.2,54.1,5.3,5,58.4,145.7,0.2,22.1,50.8,5.3,5,54.1,132.7,0.2,113,34.961,0,33
2023-03-12 12:00:00,6.8,15,6.3,14,65,4.8,54,66,75,1.2,49,51,36,9,22.7,52.2,5.4,5.1,55.9,125.1,0.2,22.4,51.5,5.4,5.1,54.5,132.5,0.2,143,47.763,0,33
2023-03-12 14:00:00,6.8,15,6.3,14,65,4.8,54,70,75,1.2,49,51,37,9,21.5,53.6,5.3,5,57.6,131.4,0.2,21.6,55.4,5.3,5,58.1,144.1,0.2,160,55.105,0,33
2023-03-12 16:00:00,6.8,15,6.3,15,66,4.8,54,66,75,1.3,48,51,37,9,23.4,50.6,5.4,5.1,54.8,122.4,0.2,23.2,54.9,5.4,5.1,58.5,148.2,0.2,181,64.087,0,33
2023-03-12 18:00:00,6.9,15,6.3,15,64,4.9,54,66,76,1.3,49,51,37,9,18.7,53.5,5.2,5.1,54.8,129.7,0.2,19.3,53.1,5.2,4.9,58.5,135.6,0.2,203,73.205,0,33
2023-03-12 20:00:00,6.8,15,6.5,15,65,4.9,54,66,75,1.1,49,51,37,9,20.9,52.2,5.3,5,55.9,122.2,0.2,21.2,54.7,5.1,4.9,57.8,140,0.2,221,80.283,0,33
2023-03-13 00:00:00,6.9,15,6.5,15,67,4.9,53,66,76,1,49,50,36,9,17.6,53.8,5.4,5.1,57.7,130.6,0.2,17.7,55.4,5.3,5,58.8,149,0.2,164,56.828,0,33
2023-03-13 02:00:00,6.7,15,6.3,14,65,4.8,54,66,75,1.2,49,49,36,9,21.5,54.6,5.2,4.9,58.5,149.7,0.2,21.3,53.4,5.2,5,56.9,135.8,0.2,185,65.773,0,33
2023-03-13 04:00:00,6.8,15,6.3,14,66,4.8,54,67,75,1.2,49,52,36,9,21.6,52.2,5.5,5.1,56.5,123.2,0.2,21.5,53.9,5.4,5,57.5,138,0.2,207,74.814,0,33
2023-03-13 06:00:00,6.8,15,6.3,14,66,4.8,54,67,75,1.2,49,52,36,9,21.8,52.8,5.4,5,56.9,246.9,0.2,21.9,50.7,5.4,5,54.3,130.3,0.2,231,84.009,0,33
2023-03-13 08:00:00,6.8,15,6.2,14,66,4.7,54,66,75,1.2,49,52,36,9,19.3,52.1,5.3,5,55.5,119.8,0.2,19.5,51.1,5.3,5,54,204.5,0.2,118,37.064,0,33
2023-03-13 10:00:00,6.8,15,6.2,14,65,4.8,53,66,75,1.1,49,52,36,9,22.1,54.6,5.3,5,58.1,138.8,0.2,21.8,54.2,5.3,5,57.2,263.9,0.2,139,46.037,0,33
2023-03-13 12:00:00,6.8,15,6.2,14,65,4.8,53,66,75,1.1,49,52,36,9,20.4,52.2,5.3,5,56,244,0.2,20.6,52.9,5.3,5,56.5,133.7,0.2,159,54.673,0,33
